rainfall_mm,elevation_m,drainage_score,previous_water_level_m,flood_severity
171.59,80.12,3,1.49,52.46
242.28,68.9,2,1.79,69.32
67.61,69.39,6,0.83,33.55
127.85,78.25,3,0.18,39.2
284.77,87.7,8,1.32,55.19
292.5,60.54,2,2.05,80.54
276.48,72.2,3,1.79,70.95
154.41,82.43,4,0.8,43.39
168.83,94.87,10,1.56,35.56
197.58,59.42,4,0.81,57.4
246.14,64.05,2,1.42,69.26
87.38,62.24,3,0.0,38.53
83.41,86.73,6,0.21,25.5
147.94,64.02,3,0.62,49.71
225.07,98.52,9,0.98,39.66
252.58,73.53,2,2.17,71.38
88.78,70.74,1,0.64,42.99
222.31,85.32,5,1.23,52.28
297.47,93.88,9,2.19,58.4
105.61,71.83,2,1.11,46.07
90.52,77.88,3,0.34,35.44
85.48,61.42,2,0.52,43.49
25.62,79.5,6,0.1,19.83
30.07,77.19,4,0.0,23.96
89.71,86.98,8,0.33,23.66
68.19,72.39,3,1.05,38.92
279.46,69.37,2,1.4,71.59
240.19,68.32,5,2.08,66.06
104.32,98.44,9,1.2,25.22
226.1,67.69,4,1.82,64.48
211.92,74.5,3,0.69,54.77
281.21,63.85,2,1.92,77.06
161.06,85.4,6,0.72,39.36
176.94,83.52,3,1.61,52.69
233.07,100.65,9,1.58,43.7
19.16,74.65,3,0.58,28.73
245.11,74.66,3,1.77,65.82
224.87,75.59,5,0.94,54.31
298.24,92.94,9,1.95,57.34
192.82,61.4,3,1.3,60.8
302.94,69.44,4,1.45,71.62
142.38,63.74,2,0.99,53.06
88.4,72.75,6,0.62,33.75
163.4,71.72,4,1.54,53.05
100.7,88.33,8,0.33,24.61
66.74,72.17,2,0.17,34.97
122.57,73.23,3,0.17,40.25
99.42,84.46,5,0.15,29.71
167.1,88.59,9,0.79,34.44
236.56,66.25,3,1.4,65.42
148.89,75.73,2,0.98,49.54
162.68,65.46,2,0.51,52.11
282.52,86.61,6,1.79,61.56
242.74,78.95,5,1.13,56.63
313.53,87.57,8,1.4,59.51
159.29,63.81,3,1.24,55.15
22.92,66.38,2,0.0,30.24
60.03,80.59,6,0.0,23.33
42.81,98.54,10,0.0,7.94
222.26,75.48,3,0.81,56.53
131.3,75.01,3,0.73,44.26
293.64,61.85,1,2.04,81.82
202.34,71.17,6,0.83,50.59
36.64,64.81,4,0.0,29.28
304.22,89.93,9,1.44,56.02
297.91,76.47,3,1.85,72.6
232.12,66.03,3,1.8,67.41
132.71,74.43,5,1.35,45.19
187.87,99.45,9,1.03,34.76
303.14,77.95,3,2.39,76.13
143.91,74.31,4,0.61,43.75
300.9,59.4,2,2.29,83.55
189.24,69.19,6,0.58,48.02
214.59,71.59,4,1.37,58.76
215.04,94.71,7,0.84,42.18
250.98,65.38,2,1.55,70.23
257.02,58.51,1,1.73,76.28
118.8,81.08,5,0.3,34.41
93.09,103.3,10,0.97,18.89
174.59,59.68,4,0.46,52.11
214.9,71.43,3,1.91,63.89
58.77,65.07,2,0.09,35.98
46.71,86.71,6,0.35,21.57
157.91,81.88,4,1.32,47.3
224.71,90.71,8,1.88,49.72
86.72,76.99,3,0.46,36.01
28.95,62.39,2,0.68,36.72
290.65,78.81,6,1.24,61.99
22.06,91.02,9,0.15,10.53
31.59,68.4,3,0.48,31.99
109.96,73.27,2,0.11,39.88
275.31,58.96,3,1.73,75.19
139.78,87.63,5,1.43,41.87
21.8,67.33,4,0.32,28.42
72.87,91.14,9,1.05,22.78
139.02,79.25,3,1.29,47.25
241.97,68.33,2,1.64,68.54
279.14,79.8,5,2.25,68.1
133.2,100.67,10,1.28,27.04
107.79,72.08,2,0.15,40.27
156.25,67.46,4,1.58,53.9
167.99,59.49,3,0.51,53.29
289.62,70.17,6,1.73,68.03
19.64,75.18,4,0.0,23.31
115.09,91.7,8,1.36,31.73
258.0,61.11,3,1.18,68.7
210.34,59.18,2,1.26,65.31
48.3,81.12,4,0.0,24.94
72.24,101.26,9,0.39,14.93
304.1,77.06,2,1.85,74.87
115.9,81.66,4,0.16,34.61
76.7,74.29,2,0.89,40.02
259.68,71.16,7,1.71,61.95
126.04,67.13,3,0.97,47.91
151.42,86.43,8,1.11,36.83
224.44,70.16,3,0.87,59.1
21.97,64.21,2,0.02,31.03
290.3,76.6,6,1.58,64.87
219.38,97.27,10,1.42,40.45
319.59,66.2,3,2.44,82.83
91.36,66.88,3,1.13,44.44
19.37,59.74,1,0.64,37.84
65.33,75.83,6,0.85,31.05
260.43,65.52,5,1.78,67.85
66.2,85.59,8,0.44,21.76
146.37,60.43,4,1.12,52.26
73.13,69.14,2,0.0,35.84
230.61,83.04,5,1.41,55.32
141.61,90.97,9,1.11,32.24
283.91,67.9,3,1.26,70.16
219.14,76.08,2,1.09,59.32
282.41,58.22,2,1.12,74.24
123.7,69.14,7,0.86,39.52
71.44,68.0,4,0.46,35.57
197.17,83.47,9,1.74,46.17
21.28,79.79,2,0.08,25.7
55.75,61.98,2,0.13,36.95
43.22,85.5,5,0.0,21.03
37.41,99.11,9,0.67,12.88
143.99,69.07,3,0.82,48.63
277.0,74.36,4,1.78,68.51
124.8,75.77,2,0.73,44.8
63.03,77.53,7,0.0,23.16
207.72,77.01,4,1.66,57.71
93.67,94.09,8,0.78,24.43
